UnitCode;Price;Currency
HPL32L49050000;19926.53;EUR
HPL32L49050001;20140.47;EUR
HPL32L49050010;20567.83;EUR
HPL32L49050011;20781.77;EUR
HPL32L49050100;20406.94;EUR
HPL32L49050101;20620.88;EUR
HPL32L49050110;21048.24;EUR
HPL32L49050111;21262.18;EUR
HPL32L4905C000;21845.48;EUR
HPL32L4905C001;22059.42;EUR
HPL32L4905C010;22486.78;EUR
HPL32L4905C011;22700.72;EUR
HPL32L4905C100;22349.40;EUR
HPL32L4905C101;22563.34;EUR
HPL32L4905C110;22990.70;EUR
HPL32L4905C111;23204.64;EUR
HPL32L05050000;19895.30;EUR
HPL32L05050001;20109.24;EUR
HPL32L05050010;20536.60;EUR
HPL32L05050011;20750.54;EUR
HPL32L05050100;20375.71;EUR
HPL32L05050101;20589.65;EUR
HPL32L05050110;21017.01;EUR
HPL32L05050111;21230.95;EUR
HPL32L0505C000;21814.25;EUR
HPL32L0505C001;22028.19;EUR
HPL32L0505C010;22455.55;EUR
HPL32L0505C011;22669.49;EUR
HPL32L0505C100;22318.17;EUR
HPL32L0505C101;22532.11;EUR
HPL32L0505C110;22959.47;EUR
HPL32L0505C111;23173.41;EUR
HPL42R47050000;22306.33;EUR
HPL42R47050001;22520.27;EUR
HPL42R47050010;22978.59;EUR
HPL42R47050011;23192.53;EUR
HPL42R47050100;22867.79;EUR
HPL42R47050101;23081.73;EUR
HPL42R47050110;23540.05;EUR
HPL42R47050111;23753.99;EUR
HPL42R4705C000;24429.12;EUR
HPL42R4705C001;24643.06;EUR
HPL42R4705C010;25101.38;EUR
HPL42R4705C011;25315.32;EUR
HPL42R4705C100;25022.48;EUR
HPL42R4705C101;25236.42;EUR
HPL42R4705C110;25694.74;EUR
HPL42R4705C111;25908.68;EUR
HPL42R49050000;22305.91;EUR
HPL42R49050001;22519.85;EUR
HPL42R49050010;22978.17;EUR
HPL42R49050011;23192.11;EUR
HPL42R49050100;22867.37;EUR
HPL42R49050101;23081.31;EUR
HPL42R49050110;23539.63;EUR
HPL42R49050111;23753.57;EUR
HPL42R4905C000;24428.70;EUR
HPL42R4905C001;24642.64;EUR
HPL42R4905C010;25100.96;EUR
HPL42R4905C011;25314.90;EUR
HPL42R4905C100;25022.06;EUR
HPL42R4905C101;25236.00;EUR
HPL42R4905C110;25694.32;EUR
HPL42R4905C111;25908.26;EUR
HPL42R05050000;22271.65;EUR
HPL42R05050001;22485.59;EUR
HPL42R05050010;22943.91;EUR
HPL42R05050011;23157.85;EUR
HPL42R05050100;22833.11;EUR
HPL42R05050101;23047.05;EUR
HPL42R05050110;23505.37;EUR
HPL42R05050111;23719.31;EUR
HPL42R0505C000;24394.44;EUR
HPL42R0505C001;24608.38;EUR
HPL42R0505C010;25066.70;EUR
